,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
0,FIVN11,Shoppings,"R$ 2,31",14779.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 65.746.443,59","R$ 6,98","0,33",N/A,N/A,N/A,N/A,"56,00%",N/A,1
1,BZLI11,Títulos e Val. Mob.,"R$ 14,70",44041.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 432.739.853,66","R$ 10,89","1,35",N/A,N/A,N/A,N/A,N/A,N/A,0
2,XTED11,Lajes Corporativas,"R$ 6,18",1331.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 27.391.929,40","R$ 13,94","0,44",N/A,N/A,N/A,N/A,"0,00%","100,00%",1
3,ALMI11,Lajes Corporativas,"R$ 1.017,00",96.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 250.487.663,18","R$ 2.253,05","0,45",N/A,N/A,N/A,N/A,"64,05%",N/A,1
4,PABY11,Híbrido,"R$ 8,35",401.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ -8.707.885,16","R$ -11,48","-0,73",N/A,N/A,N/A,N/A,N/A,N/A,1
5,ORPD11,Títulos e Val. Mob.,"R$ 128,79",1.0,"R$ 1,38",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 44.135.940,94","R$ 152,19","0,85",N/A,N/A,N/A,N/A,N/A,N/A,0
6,FISC11,Lajes Corporativas,"R$ 165,00",200.0,"R$ 0,22","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 257.842.245,51","R$ 151,67","1,09",N/A,N/A,N/A,N/A,N/A,N/A,0
7,PVBI11,Lajes Corporativas,"R$ 87,46",12886.0,"R$ 0,56","0,63%","1,87%","3,80%","7,21%","0,62%","0,63%","0,60%","0,63%","0,00%","0,63%","0,63%","R$ 996.715.875,77","R$ 99,28","0,88","0,56%","0,00%","0,56%","0,56%","0,10%",N/A,4
8,LVBI11,Logística,"R$ 98,56",25138.0,"R$ 0,71","0,72%","2,11%","4,24%","7,49%","0,70%","0,71%","0,62%","0,72%","0,00%","0,72%","0,72%","R$ 1.351.511.613,64","R$ 114,78","0,86","0,62%","0,00%","0,62%","0,62%","0,50%","0,00%",10
9,RBED11,Outros,"R$ 120,14",1137.0,"R$ 1,12","0,92%","2,68%","5,14%","9,46%","0,89%","0,86%","0,79%","1,85%","1,67%","2,60%","3,56%","R$ 286.192.341,31","R$ 141,57","0,85","0,79%","0,04%","0,83%","1,63%","0,00%",N/A,5
